------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:133, Time:0ms, TrainError:0.15390585, TrainErrorChange:-2.4674833E-4, TrainAccuracy: 0.94706726
Epoch:134, Time:0ms, TrainError:0.15366207, TrainErrorChange:-2.43783E-4, TrainAccuracy: 0.94706726
Epoch:135, Time:1ms, TrainError:0.15342118, TrainErrorChange:-2.4089217E-4, TrainAccuracy: 0.94706726
Epoch:136, Time:1ms, TrainError:0.15318316, TrainErrorChange:-2.3801625E-4, TrainAccuracy: 0.94706726
Epoch:137, Time:1ms, TrainError:0.1529478, TrainErrorChange:-2.3536384E-4, TrainAccuracy: 0.94706726
Epoch:138, Time:0ms, TrainError:0.1527153, TrainErrorChange:-2.3250282E-4, TrainAccuracy: 0.94706726
Epoch:139, Time:0ms, TrainError:0.15248555, TrainErrorChange:-2.297461E-4, TrainAccuracy: 0.94706726
Epoch:140, Time:1ms, TrainError:0.1522584, TrainErrorChange:-2.271533E-4, TrainAccuracy: 0.94706726
Epoch:141, Time:1ms, TrainError:0.15203372, TrainErrorChange:-2.2467971E-4, TrainAccuracy: 0.94706726
Epoch:142, Time:1ms, TrainError:0.1518118, TrainErrorChange:-2.21923E-4, TrainAccuracy: 0.94706726
Epoch:143, Time:1ms, TrainError:0.15159233, TrainErrorChange:-2.194643E-4, TrainAccuracy: 0.94706726
Epoch:144, Time:1ms, TrainError:0.15137528, TrainErrorChange:-2.1705031E-4, TrainAccuracy: 0.94706726
Epoch:145, Time:0ms, TrainError:0.1511608, TrainErrorChange:-2.1447241E-4, TrainAccuracy: 0.94706726
Epoch:146, Time:0ms, TrainError:0.15094869, TrainErrorChange:-2.1211803E-4, TrainAccuracy: 0.94706726
Epoch:147, Time:0ms, TrainError:0.15073894, TrainErrorChange:-2.0974874E-4, TrainAccuracy: 0.94706726
Epoch:148, Time:1ms, TrainError:0.15053143, TrainErrorChange:-2.0751357E-4, TrainAccuracy: 0.94706726
Epoch:149, Time:1ms, TrainError:0.15032622, TrainErrorChange:-2.0520389E-4, TrainAccuracy: 0.94706726
Epoch:150, Time:1ms, TrainError:0.15012313, TrainErrorChange:-2.0308793E-4, TrainAccuracy: 0.94706726
Epoch:151, Time:0ms, TrainError:0.14992243, TrainErrorChange:-2.0070374E-4, TrainAccuracy: 0.94706726
Epoch:152, Time:0ms, TrainError:0.14972377, TrainErrorChange:-1.9866228E-4, TrainAccuracy: 0.94706726
Epoch:153, Time:1ms, TrainError:0.1495273, TrainErrorChange:-1.9647181E-4, TrainAccuracy: 0.94706726
Epoch:154, Time:1ms, TrainError:0.1493328, TrainErrorChange:-1.9448996E-4, TrainAccuracy: 0.94706726
Epoch:155, Time:1ms, TrainError:0.14914045, TrainErrorChange:-1.9235909E-4, TrainAccuracy: 0.94706726
Epoch:156, Time:0ms, TrainError:0.1489502, TrainErrorChange:-1.9024312E-4, TrainAccuracy: 0.94706726
Epoch:157, Time:0ms, TrainError:0.14876182, TrainErrorChange:-1.8838048E-4, TrainAccuracy: 0.94706726
Epoch:158, Time:0ms, TrainError:0.14857548, TrainErrorChange:-1.8633902E-4, TrainAccuracy: 0.94706726
Epoch:159, Time:1ms, TrainError:0.14839101, TrainErrorChange:-1.8447638E-4, TrainAccuracy: 0.94706726
Epoch:160, Time:1ms, TrainError:0.14820847, TrainErrorChange:-1.8253922E-4, TrainAccuracy: 0.94706726
Epoch:161, Time:1ms, TrainError:0.14802778, TrainErrorChange:-1.8069148E-4, TrainAccuracy: 0.94706726
Epoch:162, Time:0ms, TrainError:0.14784901, TrainErrorChange:-1.7876923E-4, TrainAccuracy: 0.94992846
Epoch:163, Time:0ms, TrainError:0.14767198, TrainErrorChange:-1.770258E-4, TrainAccuracy: 0.94992846
Epoch:164, Time:0ms, TrainError:0.1474967, TrainErrorChange:-1.7528236E-4, TrainAccuracy: 0.94992846
Epoch:165, Time:0ms, TrainError:0.14732322, TrainErrorChange:-1.7347932E-4, TrainAccuracy: 0.94992846
Epoch:166, Time:0ms, TrainError:0.14715138, TrainErrorChange:-1.7184019E-4, TrainAccuracy: 0.94992846
Epoch:167, Time:0ms, TrainError:0.14698145, TrainErrorChange:-1.6993284E-4, TrainAccuracy: 0.94992846
Epoch:168, Time:0ms, TrainError:0.14681321, TrainErrorChange:-1.6823411E-4, TrainAccuracy: 0.94992846
Epoch:169, Time:1ms, TrainError:0.1466464, TrainErrorChange:-1.668185E-4, TrainAccuracy: 0.94992846
Epoch:170, Time:1ms, TrainError:0.1464812, TrainErrorChange:-1.6519427E-4, TrainAccuracy: 0.94992846
Epoch:171, Time:1ms, TrainError:0.1463178, TrainErrorChange:-1.6340613E-4, TrainAccuracy: 0.94992846
Epoch:172, Time:0ms, TrainError:0.14615594, TrainErrorChange:-1.6185641E-4, TrainAccuracy: 0.94992846
Epoch:173, Time:0ms, TrainError:0.14599559, TrainErrorChange:-1.603514E-4, TrainAccuracy: 0.9513591
Epoch:174, Time:0ms, TrainError:0.14583686, TrainErrorChange:-1.5872717E-4, TrainAccuracy: 0.9513591
Epoch:175, Time:1ms, TrainError:0.14567961, TrainErrorChange:-1.5725195E-4, TrainAccuracy: 0.9513591
Epoch:176, Time:1ms, TrainError:0.1455238, TrainErrorChange:-1.5580654E-4, TrainAccuracy: 0.9527897
Epoch:177, Time:1ms, TrainError:0.14536951, TrainErrorChange:-1.5428662E-4, TrainAccuracy: 0.9527897
Epoch:178, Time:0ms, TrainError:0.14521672, TrainErrorChange:-1.527965E-4, TrainAccuracy: 0.9527897
Epoch:179, Time:0ms, TrainError:0.14506526, TrainErrorChange:-1.514554E-4, TrainAccuracy: 0.9527897
Epoch:180, Time:0ms, TrainError:0.14491516, TrainErrorChange:-1.500994E-4, TrainAccuracy: 0.9527897
Epoch:181, Time:1ms, TrainError:0.14476669, TrainErrorChange:-1.4847517E-4, TrainAccuracy: 0.9527897
Epoch:182, Time:1ms, TrainError:0.14461946, TrainErrorChange:-1.4722347E-4, TrainAccuracy: 0.9527897
Epoch:183, Time:1ms, TrainError:0.14447355, TrainErrorChange:-1.4591217E-4, TrainAccuracy: 0.9527897
Epoch:184, Time:0ms, TrainError:0.14432895, TrainErrorChange:-1.4460087E-4, TrainAccuracy: 0.9527897
Epoch:185, Time:0ms, TrainError:0.14418577, TrainErrorChange:-1.4318526E-4, TrainAccuracy: 0.9527897
Epoch:186, Time:0ms, TrainError:0.1440438, TrainErrorChange:-1.4196336E-4, TrainAccuracy: 0.9527897
Epoch:187, Time:1ms, TrainError:0.14390321, TrainErrorChange:-1.4059246E-4, TrainAccuracy: 0.9527897
Epoch:188, Time:1ms, TrainError:0.14376388, TrainErrorChange:-1.3932586E-4, TrainAccuracy: 0.9527897
Epoch:189, Time:1ms, TrainError:0.14362566, TrainErrorChange:-1.3822317E-4, TrainAccuracy: 0.9527897
Epoch:190, Time:1ms, TrainError:0.1434889, TrainErrorChange:-1.3676286E-4, TrainAccuracy: 0.9527897
Epoch:191, Time:0ms, TrainError:0.14335304, TrainErrorChange:-1.3585389E-4, TrainAccuracy: 0.9527897
Epoch:192, Time:0ms, TrainError:0.14321859, TrainErrorChange:-1.3445318E-4, TrainAccuracy: 0.9527897
Epoch:193, Time:1ms, TrainError:0.14308536, TrainErrorChange:-1.3323128E-4, TrainAccuracy: 0.9527897
Epoch:194, Time:1ms, TrainError:0.14295316, TrainErrorChange:-1.322031E-4, TrainAccuracy: 0.9527897
Epoch:195, Time:1ms, TrainError:0.14282213, TrainErrorChange:-1.3102591E-4, TrainAccuracy: 0.9527897
Epoch:196, Time:1ms, TrainError:0.1426923, TrainErrorChange:-1.2983382E-4, TrainAccuracy: 0.9527897
Epoch:197, Time:0ms, TrainError:0.14256349, TrainErrorChange:-1.2880564E-4, TrainAccuracy: 0.9527897
Epoch:198, Time:0ms, TrainError:0.14243592, TrainErrorChange:-1.2756884E-4, TrainAccuracy: 0.9527897
Epoch:199, Time:1ms, TrainError:0.14230935, TrainErrorChange:-1.2657046E-4, TrainAccuracy: 0.9527897
Epoch:200, Time:1ms, TrainError:0.1421839, TrainErrorChange:-1.2545288E-4, TrainAccuracy: 0.9527897
Epoch:201, Time:1ms, TrainError:0.14205939, TrainErrorChange:-1.245141E-4, TrainAccuracy: 0.9527897
Epoch:202, Time:1ms, TrainError:0.1419361, TrainErrorChange:-1.2329221E-4, TrainAccuracy: 0.9527897
Epoch:203, Time:0ms, TrainError:0.14181374, TrainErrorChange:-1.2235343E-4, TrainAccuracy: 0.9527897
Epoch:204, Time:0ms, TrainError:0.14169236, TrainErrorChange:-1.2138486E-4, TrainAccuracy: 0.9527897
Epoch:205, Time:0ms, TrainError:0.14157212, TrainErrorChange:-1.2023747E-4, TrainAccuracy: 0.9527897
Epoch:206, Time:1ms, TrainError:0.14145286, TrainErrorChange:-1.1925399E-4, TrainAccuracy: 0.9527897
Epoch:207, Time:1ms, TrainError:0.14133458, TrainErrorChange:-1.1828542E-4, TrainAccuracy: 0.9527897
Epoch:208, Time:0ms, TrainError:0.14121716, TrainErrorChange:-1.1742115E-4, TrainAccuracy: 0.9527897
Epoch:209, Time:0ms, TrainError:0.1411009, TrainErrorChange:-1.1625886E-4, TrainAccuracy: 0.9527897
Epoch:210, Time:0ms, TrainError:0.14098552, TrainErrorChange:-1.1537969E-4, TrainAccuracy: 0.9513591
Epoch:211, Time:1ms, TrainError:0.14087096, TrainErrorChange:-1.1456013E-4, TrainAccuracy: 0.9513591
Epoch:212, Time:1ms, TrainError:0.14075741, TrainErrorChange:-1.1354685E-4, TrainAccuracy: 0.9513591
Epoch:213, Time:1ms, TrainError:0.14064471, TrainErrorChange:-1.1269748E-4, TrainAccuracy: 0.9513591
Epoch:214, Time:0ms, TrainError:0.14053306, TrainErrorChange:-1.116544E-4, TrainAccuracy: 0.9513591
Epoch:215, Time:0ms, TrainError:0.14042221, TrainErrorChange:-1.1084974E-4, TrainAccuracy: 0.9513591
Epoch:216, Time:0ms, TrainError:0.14031215, TrainErrorChange:-1.1005998E-4, TrainAccuracy: 0.9513591
Epoch:217, Time:1ms, TrainError:0.14020303, TrainErrorChange:-1.091212E-4, TrainAccuracy: 0.9513591
Epoch:218, Time:1ms, TrainError:0.1400947, TrainErrorChange:-1.0833144E-4, TrainAccuracy: 0.9513591
Epoch:219, Time:0ms, TrainError:0.13998738, TrainErrorChange:-1.0731816E-4, TrainAccuracy: 0.9513591
Epoch:220, Time:0ms, TrainError:0.13988075, TrainErrorChange:-1.0663271E-4, TrainAccuracy: 0.9513591
Epoch:221, Time:0ms, TrainError:0.13977502, TrainErrorChange:-1.0572374E-4, TrainAccuracy: 0.9513591
Epoch:222, Time:1ms, TrainError:0.1396702, TrainErrorChange:-1.0482967E-4, TrainAccuracy: 0.9513591
Epoch:223, Time:1ms, TrainError:0.13956617, TrainErrorChange:-1.04025006E-4, TrainAccuracy: 0.9513591
Epoch:224, Time:1ms, TrainError:0.13946274, TrainErrorChange:-1.0342896E-4, TrainAccuracy: 0.9513591
Epoch:225, Time:0ms, TrainError:0.13936032, TrainErrorChange:-1.0241568E-4, TrainAccuracy: 0.9513591
Epoch:226, Time:0ms, TrainError:0.1392585, TrainErrorChange:-1.01819634E-4, TrainAccuracy: 0.9513591
Epoch:227, Time:1ms, TrainError:0.13915761, TrainErrorChange:-1.0089576E-4, TrainAccuracy: 0.9513591
Epoch:228, Time:1ms, TrainError:0.13905732, TrainErrorChange:-1.00284815E-4, TrainAccuracy: 0.9513591
Epoch:229, Time:1ms, TrainError:0.13895786, TrainErrorChange:-9.946525E-5, TrainAccuracy: 0.9513591
Epoch:230, Time:1ms, TrainError:0.13885908, TrainErrorChange:-9.87798E-5, TrainAccuracy: 0.9513591
Epoch:231, Time:0ms, TrainError:0.13876122, TrainErrorChange:-9.7855926E-5, TrainAccuracy: 0.9513591
Epoch:232, Time:0ms, TrainError:0.13866387, TrainErrorChange:-9.7349286E-5, TrainAccuracy: 0.9513591
